price_id,daily_price,weekly_price,monthly_price,cleaning_fee,security_deposit
210,38.0,250.0,,,
211,56.0,,,,
212,59.0,,,,
213,199.0,,,,
214,55.0,,,15.0,
215,75.0,,,25.0,100.0
216,65.0,357.0,1260.0,25.0,95.0
217,105.0,,,25.0,100.0
218,120.0,800.0,2060.0,25.0,95.0
219,55.0,320.0,1250.0,20.0,95.0
220,750.0,3500.0,,,1000.0
221,60.0,400.0,1400.0,25.0,
222,135.0,784.0,,75.0,200.0
223,35.0,,,,
224,60.0,,,20.0,
225,35.0,,,5.0,
226,49.0,,,50.0,100.0
227,108.0,,,30.0,
228,43.0,,,,
229,68.0,,,,500.0
230,28.0,,,14.0,100.0
231,48.0,,,15.0,100.0
232,58.0,300.0,900.0,18.0,
233,135.0,,,60.0,
234,50.0,,,10.0,
235,49.0,,,,
236,45.0,290.0,1000.0,9.0,
237,50.0,,,10.0,
238,58.0,,,,
239,75.0,545.0,1750.0,50.0,125.0
240,49.0,,,15.0,
241,130.0,900.0,3000.0,100.0,400.0
242,60.0,,,25.0,100.0
243,180.0,,,100.0,500.0
244,39.0,,,,
245,40.0,,,35.0,500.0
246,80.0,,,50.0,
247,55.0,,,20.0,100.0
248,60.0,,,10.0,
249,60.0,,,,
250,110.0,,,,
251,188.0,,,26.0,
252,85.0,,,,100.0
253,25.0,,,,
254,250.0,1500.0,,100.0,500.0
255,38.0,,,10.0,
256,34.0,233.0,799.0,16.0,95.0
257,50.0,,,35.0,
258,100.0,700.0,2000.0,50.0,150.0
259,45.0,,,18.0,95.0
260,55.0,,,10.0,
261,68.0,,,18.0,95.0
262,48.0,,,,100.0
263,49.0,,,,100.0
264,45.0,,,20.0,100.0
265,89.0,,,40.0,
266,109.0,,,75.0,
267,149.0,,,85.0,
268,78.0,,,20.0,200.0
269,55.0,294.0,1300.0,5.0,5100.0
270,38.0,270.0,,10.0,
271,176.0,,,50.0,500.0
272,49.0,,,,
273,90.0,,,,
274,75.0,450.0,,50.0,400.0
275,60.0,,,30.0,0.0
276,80.0,,,25.0,100.0
277,42.0,,,10.0,
278,42.0,,,10.0,
279,39.0,,,15.0,
280,108.0,,,100.0,
281,49.0,,,10.0,
282,32.0,,,,
283,158.0,,,39.0,200.0
284,40.0,,,50.0,100.0
285,49.0,,,36.0,
286,78.0,,,20.0,1000.0
287,118.0,,,,200.0
288,60.0,,,15.0,120.0
289,40.0,250.0,800.0,5.0,200.0
290,25.0,,,,
291,39.0,,,26.0,100.0
292,95.0,,,15.0,
293,115.0,,,28.0,100.0
294,28.0,195.0,825.0,14.0,95.0
295,60.0,,,,
296,92.0,,,19.0,100.0
297,35.0,,,,
298,39.0,,,26.0,100.0
299,63.0,,,35.0,
300,35.0,,,,
301,42.0,,,9.0,
302,35.0,,,10.0,
303,45.0,300.0,1100.0,20.0,
304,43.0,,,,
305,118.0,,,,100.0
306,40.0,280.0,,6.0,
307,60.0,,,,
308,265.0,,,150.0,200.0
309,75.0,,,45.0,200.0
310,40.0,,,,
311,35.0,,,35.0,100.0
312,49.0,,,,150.0
313,39.0,,,5.0,
314,115.0,680.0,,30.0,200.0
315,30.0,,,10.0,
316,35.0,,,,
317,85.0,,,20.0,
318,54.0,377.0,1388.0,21.0,150.0
319,59.0,500.0,1350.0,85.0,200.0
320,58.0,,,,200.0
321,35.0,,,15.0,
322,60.0,,,,
323,27.0,,,,
324,65.0,350.0,1250.0,20.0,
325,85.0,,,10.0,
326,360.0,,,150.0,
327,125.0,,,,100.0
328,33.0,,,,
329,148.0,,,,
330,49.0,,,26.0,200.0
331,55.0,,,,100.0
332,49.0,,,,150.0
333,40.0,,,,
334,135.0,,2950.0,,175.0
335,100.0,,,45.0,350.0
336,113.0,,,70.0,
337,180.0,1000.0,3600.0,150.0,350.0
338,25.0,,,,
339,114.0,,,40.0,
340,85.0,,,,
341,40.0,,,10.0,200.0
342,188.0,,,100.0,
343,49.0,,,6.0,
344,40.0,,,5.0,200.0
345,68.0,,,30.0,
346,75.0,,,25.0,100.0
347,30.0,,,14.0,100.0
348,30.0,209.0,888.0,14.0,95.0
349,60.0,,,,
350,74.0,,,,200.0
351,85.0,700.0,2500.0,125.0,350.0
352,65.0,,,10.0,
353,52.0,,,,
354,58.0,,,12.0,500.0
355,90.0,,,75.0,
356,215.0,,,20.0,
357,38.0,360.0,1122.0,20.0,
358,42.0,320.0,,,
359,60.0,355.0,,6.0,
360,49.0,,,,
361,48.0,,,,95.0
362,100.0,525.0,,30.0,100.0
363,59.0,,,45.0,200.0
364,105.0,,,,200.0
365,48.0,,,,
366,188.0,,,26.0,500.0
367,60.0,400.0,1250.0,25.0,
368,135.0,,,85.0,500.0
369,189.0,,,150.0,1000.0
370,39.0,,,5.0,
371,34.0,,,16.0,95.0
372,45.0,,,,
373,299.0,2000.0,5500.0,175.0,350.0
374,65.0,,1400.0,10.0,
375,125.0,,,95.0,2300.0
376,80.0,550.0,1200.0,75.0,250.0
377,260.0,1500.0,5000.0,60.0,500.0
378,139.0,,,100.0,100.0
379,80.0,,,19.0,
380,150.0,,,40.0,500.0
381,50.0,,,10.0,
382,40.0,,,,
383,180.0,,,60.0,
384,41.0,,,5.0,95.0
385,40.0,,,5.0,100.0
386,45.0,,,6.0,
387,57.0,250.0,,10.0,
388,33.0,400.0,1500.0,,
389,59.0,,,25.0,
390,53.0,375.0,1100.0,65.0,100.0
391,150.0,,,60.0,
392,80.0,515.0,1700.0,100.0,800.0
393,1000.0,6000.0,22000.0,,
394,79.0,,,25.0,
395,33.0,,,,
396,150.0,,,80.0,150.0
397,40.0,,,,
398,49.0,,,20.0,
399,89.0,,,70.0,250.0
400,290.0,,,150.0,250.0
401,48.0,,,15.0,150.0
402,59.0,400.0,1655.0,25.0,250.0
403,39.0,,,,
404,33.0,,,,
405,139.0,,,15.0,100.0
406,80.0,560.0,,,
407,100.0,,2200.0,75.0,200.0
408,33.0,,,,
409,100.0,,,15.0,100.0
410,43.0,,,7.0,95.0
411,100.0,725.0,2000.0,100.0,500.0
412,124.0,,,5.0,
413,33.0,,,,
414,33.0,,,,
415,53.0,375.0,1100.0,65.0,100.0
416,34.0,,,30.0,100.0
417,105.0,,,50.0,500.0
418,48.0,,,,
419,120.0,,,20.0,100.0
420,40.0,,,,
421,85.0,,,15.0,
422,33.0,,,,
423,33.0,220.0,,,
424,38.0,250.0,,,
425,95.0,,,130.0,200.0
426,63.0,450.0,1491.0,30.0,100.0
427,65.0,400.0,1500.0,,
428,30.0,,,5.0,
429,80.0,,,15.0,200.0
430,45.0,,,7.0,
431,33.0,400.0,1500.0,,
432,230.0,1600.0,5900.0,120.0,200.0
433,40.0,,,,
434,43.0,,,25.0,
435,49.0,,,25.0,
436,59.0,,,25.0,
437,49.0,,,25.0,
438,43.0,,,10.0,
439,40.0,,,20.0,
440,100.0,,,,
441,120.0,,,,
442,80.0,450.0,1000.0,15.0,
443,43.0,,,5.0,
444,75.0,475.0,,75.0,200.0
445,65.0,350.0,1150.0,40.0,
446,130.0,850.0,2600.0,95.0,1000.0
447,40.0,,,5.0,
448,45.0,,,5.0,
449,55.0,,,,
450,125.0,,,50.0,200.0
451,27.0,,,,
452,33.0,220.0,,,
453,98.0,,,70.0,299.0
454,95.0,600.0,2000.0,20.0,
455,80.0,,,20.0,200.0
456,121.0,780.0,3000.0,100.0,
457,93.0,,,,
458,122.0,850.0,2950.0,95.0,500.0
459,195.0,,,,
460,40.0,,,30.0,100.0
461,50.0,,,50.0,200.0
462,170.0,,,40.0,300.0
463,45.0,300.0,600.0,10.0,
464,425.0,3650.0,12000.0,,
465,45.0,,,75.0,200.0
466,70.0,,,30.0,
467,99.0,650.0,2500.0,25.0,
468,200.0,1200.0,3500.0,,
469,495.0,,,200.0,500.0
470,275.0,,,125.0,700.0
471,199.0,,,,
472,300.0,,,150.0,200.0
473,55.0,,,,100.0
474,110.0,,,100.0,1500.0
475,800.0,,,,
476,219.0,1450.0,4200.0,125.0,500.0
477,85.0,,,,
478,170.0,1250.0,3800.0,60.0,400.0
479,90.0,540.0,1800.0,30.0,300.0
480,126.0,,,30.0,
481,48.0,,,15.0,
482,725.0,,,300.0,1000.0
483,78.0,,,40.0,150.0
484,99.0,,2200.0,85.0,200.0
485,119.0,799.0,3199.0,49.0,99.0
486,79.0,499.0,1699.0,30.0,500.0
487,49.0,,,,
488,208.0,1410.0,4050.0,125.0,500.0
489,53.0,,,40.0,100.0
490,59.0,,,,
491,499.0,,,149.0,250.0
492,50.0,,,,
493,29.0,,,15.0,
494,45.0,,,10.0,
495,185.0,,,60.0,250.0
496,250.0,1500.0,5000.0,150.0,
497,69.0,399.0,1500.0,25.0,200.0
498,130.0,550.0,1750.0,50.0,
499,139.0,,,75.0,
500,105.0,,,45.0,500.0
501,375.0,,,180.0,900.0
502,85.0,,,25.0,500.0
503,108.0,,,35.0,350.0
504,350.0,5000.0,,150.0,1000.0
505,100.0,600.0,1475.0,25.0,3500.0
506,99.0,,,25.0,500.0
507,400.0,,,,
508,349.0,,,125.0,750.0
509,435.0,,7950.0,175.0,500.0
510,113.0,,,40.0,
511,300.0,1825.0,5600.0,145.0,500.0
512,53.0,,,39.0,400.0
513,89.0,,,125.0,1500.0
514,65.0,600.0,,25.0,100.0
515,41.0,,,,
516,79.0,480.0,1650.0,50.0,200.0
517,99.0,580.0,2200.0,90.0,250.0
518,119.0,599.0,2400.0,50.0,200.0
