availability_id,availability_30,availability_60,availability_90,availability_365
318,13,41,64,339
319,27,57,87,362
320,30,60,90,180
321,0,5,5,142
322,5,35,65,340
323,30,60,90,365
324,30,60,90,365
325,0,15,35,35
326,30,60,90,180
327,21,51,81,356
328,20,48,78,78
329,0,6,21,296
330,3,3,12,12
331,7,29,54,322
332,0,0,29,119
333,0,0,12,137
334,13,41,71,346
335,8,18,38,298
336,8,19,34,63
337,22,48,57,318
338,30,60,90,365
339,3,7,7,7
340,29,59,89,363
341,4,4,4,260
342,15,32,47,303
343,0,0,0,0
344,0,0,0,32
345,6,14,27,302
346,10,17,42,315
347,26,56,86,361
348,23,53,83,357
349,30,60,90,365
350,7,23,23,23
351,4,31,41,248
352,17,39,69,344
353,20,50,79,79
354,20,50,80,169
355,10,10,10,17
356,26,56,86,361
357,29,59,89,179
358,13,42,72,347
359,19,23,53,320
360,22,52,82,82
361,20,32,60,122
362,0,0,0,0
363,21,51,81,171
364,3,5,21,35
365,7,7,7,91
366,26,56,86,176
367,0,0,0,243
368,14,40,70,70
369,25,27,35,299
370,24,54,84,174
371,25,55,85,360
372,18,30,30,304
373,10,35,61,332
374,0,0,0,0
375,27,57,87,177
376,10,10,10,129
377,29,59,89,364
378,26,56,86,86
379,25,55,85,175
380,29,59,89,364
381,20,44,68,69
382,30,58,86,361
383,27,56,60,60
384,20,50,79,354
385,8,26,44,303
386,8,32,60,335
387,3,3,10,10
388,30,60,90,365
389,7,22,44,298
390,0,0,0,241
391,1,6,11,37
392,30,60,90,180
393,30,60,90,365
394,7,26,53,328
395,4,4,4,126
396,5,13,36,38
397,30,60,90,365
398,13,32,50,319
399,17,39,66,152
400,23,47,67,342
401,0,0,11,40
402,0,21,51,326
403,29,59,89,364
404,30,60,90,365
405,21,49,79,79
406,30,60,90,365
407,12,19,27,276
408,30,60,90,365
409,23,51,80,80
410,14,35,61,331
411,10,40,70,345
412,30,60,90,90
413,30,60,90,365
414,30,60,90,365
415,1,1,1,235
416,0,0,16,16
417,19,34,60,150
418,27,57,87,87
419,0,0,6,6
420,29,59,89,364
421,27,27,27,269
422,0,0,0,63
423,1,1,29,304
424,30,60,90,365
425,0,0,0,244
426,0,0,0,153
427,30,60,90,365
428,30,58,86,86
429,30,55,82,82
430,13,37,50,323
431,30,60,90,365
432,0,0,0,0
433,0,0,0,153
434,13,41,71,346
435,14,39,64,339
436,8,30,56,331
437,13,38,68,338
438,0,0,0,0
439,26,26,26,301
440,30,60,90,365
441,30,60,90,365
442,0,0,0,0
443,6,20,48,48
444,30,60,90,365
445,0,0,0,0
446,30,60,90,365
447,30,60,90,90
448,4,12,40,313
449,0,30,60,150
450,1,17,47,322
451,0,0,0,0
452,30,60,90,365
453,21,44,64,154
454,2,26,44,161
455,29,59,89,89
456,2,22,25,279
457,30,60,90,365
458,0,0,0,0
459,0,0,0,0
460,30,42,60,335
461,30,60,90,179
462,24,54,84,359
463,21,34,34,291
464,14,27,35,262
465,29,59,89,179
466,0,0,0,244
467,23,50,80,170
468,29,59,89,364
469,30,60,90,365
470,6,32,62,330
471,23,53,83,173
472,28,53,72,347
473,0,21,51,51
474,0,14,44,68
475,0,0,0,0
476,23,45,75,346
477,25,55,85,175
478,1,24,54,327
479,29,59,89,89
480,14,33,46,93
481,4,4,4,4
482,10,30,60,321
483,5,5,6,208
484,0,25,43,310
485,13,19,23,273
486,11,18,18,267
487,18,19,21,291
488,20,41,71,346
489,1,31,61,151
490,0,0,0,0
491,30,60,90,365
492,28,58,88,88
493,27,57,87,362
494,6,6,10,285
495,21,43,69,159
496,19,44,74,233
497,5,12,12,253
498,8,38,66,341
499,20,50,80,355
500,0,10,10,10
501,13,24,41,269
502,29,59,89,364
503,0,0,16,16
504,0,0,0,0
505,3,16,16,265
506,15,15,15,267
507,26,56,86,176
508,13,29,52,309
509,11,30,43,298
510,0,0,0,200
511,18,42,63,326
512,8,8,24,24
513,30,60,90,365
514,14,14,14,269
515,0,0,0,173
516,19,19,19,97
517,11,38,68,337
518,12,27,57,63
519,23,51,74,344
520,30,60,89,89
521,25,39,69,344
522,10,35,36,309
523,0,0,0,0
524,0,16,35,270
525,30,59,89,364
526,24,54,83,83
527,0,0,0,0
528,29,59,89,364
529,13,22,39,265
530,1,31,61,336
531,0,0,0,271
532,13,43,68,158
533,0,0,0,269
534,0,11,40,40
535,0,0,1,189
536,16,44,74,349
537,28,58,88,363
538,28,58,88,88
539,30,60,90,365
540,0,16,46,59
541,15,27,53,272
542,23,48,78,353
543,28,58,88,363
544,0,5,35,35
545,30,60,90,365
546,19,49,79,354
547,0,10,16,156
548,30,60,90,365
549,0,4,29,119
550,21,44,74,334
551,0,0,0,0
552,1,28,58,99
553,23,36,66,333
554,0,15,45,135
555,9,39,69,344
556,25,55,85,356
557,16,16,16,16
558,25,55,85,85
559,1,24,54,327
560,5,13,19,19
561,24,47,77,335
562,8,32,62,152
563,5,35,65,340
564,7,7,24,264
565,0,20,26,257
566,16,46,76,351
567,1,8,38,38
568,28,58,88,363
569,0,10,40,40
570,4,24,53,53
571,8,26,51,308
572,0,1,14,289
573,18,48,78,353
574,3,3,27,302
575,21,46,67,174
576,28,58,88,363
577,18,18,18,289
578,30,60,90,365
579,0,14,34,34
580,0,0,0,0
581,6,12,25,115
582,15,33,63,338
583,22,49,79,79
584,24,45,75,165
585,27,32,62,62
586,9,35,65,340
587,12,28,54,54
588,0,0,0,0
589,11,35,65,340
590,17,28,44,297
591,2,14,29,271
592,29,59,89,364
593,30,60,90,365
594,7,7,7,257
595,0,0,0,0
